,n,l1_norm
0,100,0.2010183036327362
1,100,0.20132750272750854
2,100,0.20697210729122162
3,50,0.197088822722435
4,50,0.19875198602676392
5,50,0.19476161897182465
6,25,0.20801736414432526
7,25,0.20543251931667328
8,25,0.2021005004644394
9,20,0.18642081320285797
10,20,0.2112458199262619
11,20,0.22641129791736603
12,15,0.2002391219139099
13,15,0.22322365641593933
14,15,0.2104717493057251
15,10,0.28110215067863464
16,10,0.2793239951133728
17,10,0.26643258333206177
18,5,0.6039032340049744
19,5,0.5933116674423218
20,5,0.5963559746742249
